"August 9, 2022",Carr Joins Sullivan in Alaska,Carr Joins Senator Sullivan in Alaska with Broadband Officials,News Relea,"Media Relations, Office of Commissioner C","Events Focus on Expanding Connectivity, Telehealth, Workforce, and New Federal Program",https://docs.fcc.gov/public/attachments/DOC-386086A1.pdf,https://www.fcc.gov/document/carr-joins-sullivan-alaska
"August 8, 2022","FCC Opens Proceeding On Servicing, Assembly, & Manufacturing In Space","Space Innovation; Facilitatig Capabilities for In-space Servicing, Assembly, and Manufacturing",Noti,International,unknown,https://docs.fcc.gov/public/attachments/FCC-22-66A1.pdf,https://www.fcc.gov/document/fcc-opens-proceeding-servicing-assembly-manufacturing-space-0
"August 8, 2022",FCC Establishes Affordable Connectivity Outreach Grant Program,Affordable Connectivity Program,Report and Order,Wireline Competition,unknown,https://docs.fcc.gov/public/attachments/FCC-22-64A1.pdf,https://www.fcc.gov/document/fcc-establishes-affordable-connectivity-outreach-grant-program-0
"August 8, 2022","FCC Creates 'Your Home, Your Internet' Pilot Program",Affordable Connectivity Program,Report and Order,Wireline Competition,unknown,https://docs.fcc.gov/public/attachments/FCC-22-65A1.pdf,https://www.fcc.gov/document/fcc-creates-your-home-your-internet-pilot-program-0
"August 5, 2022",FCC Proposes Q Link Fine for Non-Response to Data Security Inquiry,CC Proposes Fine Against Q Link For Failing To Respond To Inquiries Into Reported Data Breach,News Relea,"Enforcement, Media Relation",unknown,https://docs.fcc.gov/public/attachments/DOC-386006A1.pdf,https://www.fcc.gov/document/fcc-proposes-q-link-fine-non-response-data-security-inquiry-0
"August 5, 2022",FCC Urges EAS Participants to Secure EAS Equipment,Public Safety and Homeland Security Bureau Urges Emergency Alert System (EAS) Participants to Take Immediate Steps to Secure EAS Equipmen,Public Noti,Public Safety and Homeland Security,unknown,https://docs.fcc.gov/public/attachments/DA-22-828A1.pdf,https://www.fcc.gov/document/fcc-urges-eas-participants-secure-eas-equipment
"August 4, 2022",Carr Applauds PLAN for Broadband Act,"Carr Applauds Introduction of Bipartisan, Bicameral ""PLAN for Broadband Act""",Sta,"Media Relations, Office of Commissioner C",Bill Would Require President to Develop National Broadband Strategy and Implementation Pla,https://docs.fcc.gov/public/attachments/DOC-385961A1.pdf,https://www.fcc.gov/document/carr-applauds-plan-broadband-act
"August 3, 2022",FCC Updates 17 GHz Rules to Support Spectrum for Satellite Broadband,"Amendment of Parts 2 and 25 of the Commission's Rules to Enable GSO Fixed-Satellite Service (Space-to-Earth) Operations in the 17.3-17.8 GHz Band, to Modernize Certain Rules Applicable to 17/24 GHz BSS Space Stations",R&O/NPRM,International,unknown,https://docs.fcc.gov/public/attachments/FCC-22-63A1.pdf,https://www.fcc.gov/document/fcc-updates-17-ghz-rules-support-spectrum-satellite-broadband
"August 3, 2022","Deletion of Item From August 5, 2022 Open Meeting","Deletion of Item From August 5, 2022 Open Meeting",Sunshi,Managing Directo,Sunsh,https://docs.fcc.gov/public/attachments/DOC-385871A1.pdf,https://www.fcc.gov/document/deletion-item-august-5-2022-open-meeting
"August 2, 2022",FCC Identifies Tentative Selectees for New NCE FM Stations,Comparative Consideration of 27 Groups of Mutually Exclusive Applications  for Permits to Construct New Noncommercial Educational FM Stations,Memorandum Opinion and Order,Medi,unknown,https://docs.fcc.gov/public/attachments/FCC-22-61A1.pdf,https://www.fcc.gov/document/fcc-identifies-tentative-selectees-new-nce-fm-stations
"August 2, 2022","FCC, NTIA Sign New MOU on Spectrum Coordination","CC, NTIA Sign New Memorandum Of Understanding On Spectrum Coordination",News Relea,"Media Relations, Office of Chairwoman Rosenworcel",Updated MOU Will Help Revitalize the Interagency Spectrum Coordination Process to Once Again Produce Results for Consumers and the Economy,https://docs.fcc.gov/public/attachments/DOC-385873A1.pdf,https://www.fcc.gov/document/fcc-ntia-sign-new-mou-spectrum-coordination
"August 1, 2022",FCC Fines Electronics Marketer for Selling Noncompliant Wireless Mics,CC Fines New York Electronics Marketer for Selling Noncompliant Wireless Devices,News Relea,"Enforcement, Media Relation","Ignored Warnings, Incomplete Responses to Investigators, and Selling Devices Operating in Unauthorized Spectrum Bands Results in a Nearly $700K F",https://docs.fcc.gov/public/attachments/DOC-385823A1.pdf,https://www.fcc.gov/document/fcc-fines-electronics-marketer-selling-noncompliant-wireless-mics
"August 1, 2022","Deletion of Items From August 5, 2022 Open Meeting","Deletion of Items From August 5, 2022 Open Meeting",Sunshi,Managing Directo,Sunsh,https://docs.fcc.gov/public/attachments/DOC-385822A1.pdf,https://www.fcc.gov/document/deletion-items-august-5-2022-open-meeting
"August 1, 2022","FCC Consumer Advisory Committee Next Meeting Date, Time, and Agenda","CC Consumer Advisory Committee Announcement of Next Meeting Date, Time, and Agenda",Public Noti,Consumer and Governmental Affai,unknown,https://docs.fcc.gov/public/attachments/DA-22-808A1.pdf,https://www.fcc.gov/document/fcc-consumer-advisory-committee-next-meeting-date-time-and-agenda
"July 29, 2022","FCC To Hold Open Commission Meeting Friday, August 5, 2022","CC To Hold Open Commission Meeting Friday, August 5, 2022",Sunshi,Managing Directo,Sunsh,https://docs.fcc.gov/public/attachments/DOC-385772A1.pdf,https://www.fcc.gov/document/fcc-hold-open-commission-meeting-friday-august-5-2022
"July 29, 2022",FCC Starts 5G Mid-Band Spectrum Auction,CC Starts 5G Mid-Band Spectrum Auction,News Relea,"Economics and Analytics, Media Relations, Wireless Telecommunication",First-of-Its-Kind Overlay Auction of 2.5 GHz Licenses Offers Opportunity to Fill in the Spectrum Gaps in Rural Wireless Coverag,https://docs.fcc.gov/public/attachments/DOC-385771A1.pdf,https://www.fcc.gov/document/fcc-starts-5g-mid-band-spectrum-auction
"July 28, 2022",Chairwoman Rosenworcel Statement On Net Neutrality Legislation,Chairwoman Rosenworcel Statement On Net Neutrality Legislation,Sta,"Media Relations, Office of Chairwoman Rosenworcel",unknown,https://docs.fcc.gov/public/attachments/DOC-385734A1.pdf,https://www.fcc.gov/document/chairwoman-rosenworcel-statement-net-neutrality-legislation
"July 28, 2022",Starks Statement On Introduction Of Net Neutrality Legislation,Statement Of Geoffrey Starks On Today's Introduction of the Net Neutrality and Broadband Justice Ac,Sta,"Office of Commissioner Starks, Media Relation",unknown,https://docs.fcc.gov/public/attachments/DOC-385733A1.pdf,https://www.fcc.gov/document/starks-statement-introduction-net-neutrality-legislation
"July 28, 2022",FCC Warns Consumers of Rising Threat of Scam Robotexts,Alert: Scam Robotexts Are Rising Threa,Consumer Advisor,"Enforcement, Media Relations, Consumer and Governmental Affai","Text Message Scammers Seek Money, Information, and Engagem",https://docs.fcc.gov/public/attachments/DOC-385732A1.pdf,https://www.fcc.gov/document/fcc-warns-consumers-rising-threat-scam-robotexts
"July 27, 2022",FCC Announces $77 Million In Emergency Connectivity Funding,CC Announces $77 Million In Emergency Connectivity Funding For Schools And Libraries To Help Close The Homework Gap,News Relea,"Consumer and Governmental Affairs, Media Relations, Wireline Competition",Nearly 13 Million Students Benefitting from Program Providing Digital Services for Students in Communities Across the Country,https://docs.fcc.gov/public/attachments/DOC-385699A1.pdf,https://www.fcc.gov/document/fcc-announces-77-million-emergency-connectivity-funding
"July 27, 2022",FCC Announces New Chief Information Officer,CC Announces Allen Hill As FCC Chief Information Officer,Sta,"Managing Director, Media Relation",unknown,https://docs.fcc.gov/public/attachments/DOC-385696A1.pdf,https://www.fcc.gov/document/fcc-announces-new-chief-information-officer
"July 22, 2022",FCC Proposes Fines of $4.3M Against 73 RDOF Applicants for Defaults,CC Proposes $4.3 Million In Fines Against 73 Rural Digital Opportunity Fund Applicants That Defaulted On Bids In Apparent Violation Of FCC Rules,News Relea,"Enforcement, Wireline Competition, Media Relation",faults Prevented Funding to Build Broadband in Rural Area,https://docs.fcc.gov/public/attachments/DOC-385581A1.pdf,https://www.fcc.gov/document/fcc-proposes-fines-43m-against-73-rdof-applicants-defaults
"July 22, 2022","WRC Advisory Committee Schedules 6th Meeting for September 12, 2022","World Radiocommunication Conference Advisory Committee Schedules Its Sixth Meeting On September 12, 2022",Public Noti,International,unknown,https://docs.fcc.gov/public/attachments/DA-22-791A1.pdf,https://www.fcc.gov/document/wrc-advisory-committee-schedules-6th-meeting-september-12-2022
"July 22, 2022",FCC Sets Revised Agenda for July 22 Diversity Council Meeting,"CC Announces Revised Agenda for July 22, 2022 Communications Equity and Diversity Council Meeting",Public Noti,Medi,unknown,https://docs.fcc.gov/public/attachments/DA-22-790A1.pdf,https://www.fcc.gov/document/fcc-sets-revised-agenda-july-22-diversity-council-meeting
"July 21, 2022",FCC Orders Blocking of Auto Warranty Robocall Scam Campaign,CC Orders Blocking Of Auto Warranty Robocall Scam Campaign,News Relea,"Enforcement, Media Relations, Office of Chairwoman Rosenworcel",unknown,https://docs.fcc.gov/public/attachments/DOC-385536A1.pdf,https://www.fcc.gov/document/fcc-orders-blocking-auto-warranty-robocall-scam-campaign
"July 20, 2022",FCC Releases Agenda for July 22 Equity and Diversity Council Meeting,"CC Announces Agenda for July 22, 2022 Communications Equity and Diversity Council Meeting",Public Noti,Medi,unknown,https://docs.fcc.gov/public/attachments/DA-22-783A1.pdf,https://www.fcc.gov/document/fcc-releases-agenda-july-22-equity-and-diversity-council-meeting
"July 19, 2022",Rosenworcel Probes Mobile Carriers on Data Privacy Practices,Chairwoman Roseworcel Probes Top Mobile Carriers On Data Privacy Practices,News Relea,"Media Relations, Office of Chairwoman Rosenworcel",unknown,https://docs.fcc.gov/public/attachments/DOC-385446A1.pdf,https://www.fcc.gov/document/rosenworcel-probes-mobile-carriers-data-privacy-practices
"July 19, 2022",Commissioner Starks Announces Staff Changes,Commissioner Starks Announces Staff Changes,Sta,"Office of Commissioner Starks, Media Relation",unknown,https://docs.fcc.gov/public/attachments/DOC-385434A1.pdf,https://www.fcc.gov/document/commissioner-starks-announces-staff-changes-2
